Token,Data
UNUS SED LEO,Y
Aave,Y
Acash Coin,N
Neo,Y
Synthetix,Y
NEM,Y
Binance USD,Y
Storeum,N
Tezos,Y
Ethereum Classic,Y
Dogecoin,Y
Polkadot,Y
EOS,Y
Cardano,Y
Ethereum,Y
Monero,Y
HEX,?
Wrapped Bitcoin,Y
Compound,Y
Uniswap,Y
Filecoin,Y
VestChain,N
Counos X,N
USD Coin,Y
TAGZ5,N
Polygon,Y
TRON,Y
Crypto.com Coin,Y
KickToken,N
Bitcoin Cash,Y
Bitcoin SV,Y
INO COIN,N
Ontology,Y
XRP,Y
THETA,Y
Internet Computer,Y
HedgeTrade,Y
Chainlink,Y
Bitcoin,Y
TNC Coin,N
IOTA,Y
VeChain,Y
BitTorrent,Y
MINDOL,N
Klaytn,Y
Stellar,Y
UMA,Y
Celsius,Y
999,N
Maker,Y
Revain,Y
Waves,Y
Dai,Y
Ampleforth,Y
Dash,Y
Zcash,Y
Folgory Coin,N
Cosmos,Y
OMG Network,Y
Litecoin,Y
Binance Coin,Y
Tether,Y
Huobi Token,Y
yearn.finance,Y
Terra,Y
Solana,Y